altura,angulo,distancia,x,y,z
0.0,0,0.8529252059210786,0.8529252059210786,0.0,0.0
0.0,1,1.9304911571702446,1.9301971340164636,0.033691716298516874,0.0
0.0,2,0.5877559290662213,0.5873978840348679,0.020512386108321984,0.0
0.0,3,3.1994969864939904,3.1951121870711545,0.16744873428458015,0.0
0.0,4,2.6657367749598078,2.6592431741554674,0.1859523973512331,0.0
0.0,5,3.0470333753172087,3.035438493399599,0.26556645700267517,0.0
0.0,6,1.488662150658312,1.4805071036357145,0.15560756693303338,0.0
0.0,7,2.280002986437531,2.2630081899192924,0.27786246691891725,0.0
0.0,8,4.413100683395994,4.370152690908656,0.6141849069572045,0.0
0.0,9,4.49346992719191,4.438147855902332,0.7029335642346316,0.0
0.0,10,4.314576161330176,4.249028054639608,0.7492182878201646,0.0
0.0,11,1.2840738909596812,1.2604818369214346,0.2450128491232677,0.0
0.0,12,1.5216050372868397,1.488354316486595,0.3163594760591266,0.0
0.0,13,4.088012133868352,3.9832366477201337,0.9196026396841992,0.0
0.0,14,4.329908147493115,4.201291370680186,1.04749958681398,0.0
0.0,15,3.687158690702619,3.5615218049758464,0.9543068914691124,0.0
0.0,16,4.546490397408135,4.370367069979825,1.253182591388956,0.0
0.0,17,1.7169653552441055,1.641942135043701,0.5019920878625984,0.0
0.0,18,4.963366307465351,4.720441869474736,1.5337645383148237,0.0
0.0,19,4.911223217591183,4.643652781147109,1.5989378790783004,0.0
0.0,20,4.2767479481056885,4.018828487796191,1.462733946178867,0.0
0.0,21,2.783366544802075,2.598496525994364,0.9974693614937068,0.0
0.0,22,0.6754828230857062,0.6262967676022604,0.2530403192670996,0.0
0.0,23,0.5735696003978106,0.5279736009589614,0.22411149723057833,0.0
0.0,24,1.207116451833076,1.10275575141776,0.49097849342015615,0.0
0.0,25,3.9709387344870484,3.598892696911072,1.6781912254477291,0.0
0.0,26,4.855839741132944,4.364399849113179,2.128660035944425,0.0
0.0,27,2.8332067128992566,2.5244056655675178,1.286248931454572,0.0
0.0,28,3.8295376640699157,3.38128106225313,1.797859031898333,0.0
0.0,29,4.245844567300441,3.7134993320117062,2.0584262922979004,0.0
0.0,30,2.7818967791096427,2.4091932814150576,1.3909483895548211,0.0
0.0,31,4.959859622249196,4.251429484264742,2.5545165516673345,0.0
0.0,32,4.02874234514832,3.4165672757078074,2.134908179326154,0.0
0.0,33,1.9849413066262867,1.6647118529665998,1.0810765178024078,0.0
0.0,34,4.854165794737574,4.024285827248953,2.7144150646876892,0.0
0.0,35,2.6004690029950455,2.130179499913548,1.4915677435792558,0.0
